Module Name,Test Case Name
/Real Appeal/HFOps/Member,RA_HFOPS_Member_CompareFirstnameAndLastNameByBothUIAndDB
/Real Appeal/HFOps/Member,RA_HFOPS_Member_CompareInsuranceCarrierFromUIAndDBForMember
/Real Appeal/HFOps/Member,RA_HFOPS_Member_CompareLastnameAloneFromUIAndDB
/Real Appeal/HFOps/Member,RA_HFOPS_Member_Emailsort
/Real Appeal/HFOps/Member,RA_HFOPS_Member_EnterInvalidFirstnameAndLastnameAndVerifyNoResultsFound
/Real Appeal/HFOps/Member,RA_HFOPS_Member_EnterMaxCharactersAddress1AndAdress2textboxAndVerifyErrorMessage
/Real Appeal/HFOps/Member,RA_HFOPS_Member_EnterMaxCharactersFirstnameAndLastnameAndVerifyErrorMessage
/Real Appeal/HFOps/Member,RA_HFOPS_Member_EnterNumberAndSpecialCharacterInCityTextboxIsNotValidErrorMessageShouldBeVerified
/Real Appeal/HFOps/Member,RA_HFOPS_Member_EnterSpecialCharacterInAddressTextboxAndVerifyErrorMessage
/Real Appeal/HFOps/Member,RA_HFOPS_Member_Health_Tracking
/Real Appeal/HFOps/Member,RA_HFOPS_Member_InvalidDOBValidationAndVerifyAlertMessage
/Real Appeal/HFOps/Member,RA_HFOPS_Member_MemberIdSort
/Real Appeal/HFOps/Member,RA_HFOPS_Member_MemberListCountVerificationWhileMemberSortingUsingName
/Real Appeal/HFOps/Member,RA_HFOPS_Member_MemberProfileClearTheEmailPhoneAndMobileFieldToCheckTheAlertMessage
/Real Appeal/HFOps/Member,RA_HFOPS_Member_MemberProfileIfOneDivision'sEditIsTurnedOnCheckIfTheOtherSection'sEditShouldNotBeClickAble
/Real Appeal/HFOps/Member,RA_HFOPS_Member_MemberSortingUsingAvailableOptionUnderSearchDropdown
/Real Appeal/HFOps/Member,RA_HFOPS_Member_MemberSortingUsingDifferentOnboardingStatus
/Real Appeal/HFOps/Member,RA_HFOPS_Member_ObserveIfTheLeftPageNavigationButtonIsDisabledInTheFirstPageOfMemberList
/Real Appeal/HFOps/Member,RA_HFOPS_Member_OnboardingStatusSort
/Real Appeal/HFOps/Member,RA_HFOPS_Member_ProgramSort
/Real Appeal/HFOps/Member,RA_HFOPS_Member_ProgressTabWithTheGraphCharts
/Real Appeal/HFOps/Member,RA_HFOPS_Member_SearchFieldInTheMemberListMustBeDisabledWhenTheAllOptionInTheSearchFilter
/Real Appeal/HFOps/Member,RA_HFOPS_Member_SelectClientInSearchFilterEnterValidClientWithSpaceBeforeTheTextInTheTextboxShouldBeEntered
/Real Appeal/HFOps/Member,RA_HFOPS_Member_SelectClientInTheSearchFilterEnterValidClientName
/Real Appeal/HFOps/Member,RA_HFOPS_Member_SelectEmailInSearchFilterEnterValidEmailWithSpaceBeforeTheTextInTheTextboxShouldBeEntered
/Real Appeal/HFOps/Member,RA_HFOPS_Member_SelectNameInTheSearchFilterEnterValidFirstnameLastnameCombinationWithExtraSpace
/Real Appeal/HFOps/Member,RA_HFOPS_Member_SelectNameInTheSearchFilterEnterValidFirstnameLastnameCombinationWithOutSpace
/Real Appeal/HFOps/Member,RA_HFOPS_Member_SelectOnboardingStatusInSearchFilterOfIEnterSpacesBeforeTheTextInTheTextbox
/Real Appeal/HFOps/Member,RA_HFOPS_Member_Sorting
/Real Appeal/HFOps/Member,RA_HFOPS_Member_UncheckPhoneMobileAndEmailVerifyFillatleastOneFormOfContactIsRequiredErrorMessage
/Real Appeal/HFOps/Member,RA_HFOPS_Member_ValidateDOBWithMinAndMaximumYears
/Real Appeal/HFOps/Member,RA_HFOPS_Member_VerificationAndValidationForFirstnameAndLastnameOnMemberProfile
/Real Appeal/HFOps/Member,RA_HFOPS_Member_VerifyClickOnClassroomLinkOnMemberstabIsNavigatedToClassestab
/Real Appeal/HFOps/Member,RA_HFOPS_Member_VerifyClientHeaderSortingByAscendingtoDescendingAndDescendingtoAscending
/Real Appeal/HFOps/Member,RA_HFOPS_Member_VerifyCoachHeaderSortingByAscendingtoDescendingAndDescendingtoAscending
/Real Appeal/HFOps/Member,RA_HFOPS_Member_VerifyColumnHeadersSortingByAscendingtoDescendingAndDescendingtoAscending
/Real Appeal/HFOps/Member,RA_HFOPS_Member_VerifyEmailHeaderSortingByAscendingtoDescendingAndDescendingtoAscending
/Real Appeal/HFOps/Member,RA_HFOPS_Member_VerifyMemberIDHeaderSortingByAscendingtoDescendingAndDescendingtoAscending
/Real Appeal/HFOps/Member,RA_HFOPS_Member_VerifyOnboardingStatusHeaderSortingByAscendingtoDescendingAndDescendingtoAscending
/Real Appeal/HFOps/Member,RA_HFOPS_Member_VerifyProgramHeaderSortingByAscendingtoDescendingAndDescendingtoAscending
/Real Appeal/HFOps/ProgramClosure,RA_HFOPS_ProgramClosure_MemberProfileNotes&Communication
/Real Appeal/HFOps/ProgramClosure,RA_HFOPS_ProgramClosure_PAMemberList
/Real Appeal/HFOps/Programs,RA_HFOPS_Programs_ProgramsDisplayBasedOnTheApproval
/Real Appeal/HFOps/Programs,RA_HFOPS_Programs_SessionActivityAssertDetails
/Real Appeal/HFOps/Programs,RA_HFOPS_Programs_SessionContractAssertDetails
/Real Appeal/HFOps/Programs,RA_HFOPS_Programs_SessionQuizAssertDetails
/Real Appeal/HFOps/Programs,RA_HFOPS_Programs_SessionScriptAssertDetails
/Real Appeal/HFOps/Programs,RA_HFOPS_Programs_SessionSnapShotAssertDetails
/Real Appeal/HFOps/Programs,RA_HFOPS_Programs_SessionVideoFunctionality
/Real Appeal/HFOps/Provider,RA_HFOPS_Provider_Sorting
/Real Appeal/Program Admin/Classes,RA_HBMI_PA_Classes_MembersGroupedUnderOneUnapprovedClass
/Real Appeal/Program Admin/Classes,RA_PA_Classes_ApprovedUnApprovedClassroomSearch
/Real Appeal/Program Admin/Classes,RA_PA_Classes_ApproveUnapprovedClass
/Real Appeal/Program Admin/Classes,RA_PA_Classes_ChangeClassOptionforMembers
/Real Appeal/Program Admin/Classes,RA_PA_Classes_CoachSearchesAssignedMembers
/Real Appeal/Program Admin/Classes,RA_PA_Classes_MembersGroupedUnderOneScheduledClass
/Real Appeal/Program Admin/Dashboard,RA_PA_Dashboard_1on1SessionConflictShouldHaveRescheduleOption
/Real Appeal/Program Admin/Dashboard,RA_PA_Dashboard_GroupSessionConflictShouldShowFindASubstituteOption
/Real Appeal/Program Admin/Idle Member,RA_PA_IdleMember_IdleMember'sStatusSfterMemberMovementByPA
/Real Appeal/Program Admin/Idle Member,RA_PA_IdleMember_IdleMembersPreviousHistoryOfSessionsUnderSessionsTab
/Real Appeal/Program Admin/Idle Member,RA_PA_IdleMember_IdleStatusInMemberProfile
/Real Appeal/Program Admin/Idle Member,RA_PA_IdleMember_MemberDetailsFutureAndPastGroupSessions
/Real Appeal/Program Admin/Idle Member,RA_PA_IdleMember_PAMovesIdleMemberToApprovedClass
/Real Appeal/Program Admin/Idle Member,RA_PA_IdleMember_PAMovesIdleMemberToInSufficientClass
/Real Appeal/Program Admin/Idle Member,RA_PA_IdleMember_PAMovesIdleMemberToUnApprovedClass
/Real Appeal/Program Admin/Idle Member,RA_PA_IdleMember_PHIConsentDetailsOfTheMemberInIdleStatus
/Real Appeal/Program Admin/Idle Member,RA_PA_IdleMember_PreviousHistoryOfAttendanceInTrackerTab
/Real Appeal/Program Admin/Idle Member,RA_PA_IdleMember_Schedule1On1SessionFromIdleMembersProfile
/Real Appeal/Program Admin/Idle Member,RA_PA_IdleMember_SearchIdleMembersViaAccountStatusFilterOption
/Real Appeal/Program Admin/Idle Member,RA_PA_IdleMember_TrackingClaimsForIdleMembers
/Real Appeal/Program Admin/Member,RA_PA_Member_ChangeMemberIDFromUIAndCompareWithDBAreSame
/Real Appeal/Program Admin/Member,RA_PA_Member_ChangeMemberProfileCityFromProviderAndVerifyInMemberPortal
/Real Appeal/Program Admin/Member,RA_PA_Member_ChangeMemberProfileDOBFromProviderAndVerifyInMemberPortal
/Real Appeal/Program Admin/Member,RA_PA_Member_ChangeMemberProfileEmailFromProviderAndVerifyInProviderPortal
/Real Appeal/Program Admin/Member,RA_PA_Member_ChangeMemberProfileFirstnameLastnameFromProviderAndVerifyInCoachPortal
/Real Appeal/Program Admin/Member,RA_PA_Member_ChangeMemberProfileFirstnameLastnameFromProviderAndVerifyInMemberSettingsPage
/Real Appeal/Program Admin/Member,RA_PA_Member_CheckTheOnboardingStatusOfMembers
/Real Appeal/Program Admin/Member,RA_PA_Member_ClearEmailFromTheMemberProfileAndValidateEmailRequiredErrorMessage
/Real Appeal/Program Admin/Member,RA_PA_Member_ClickOnMemberTabAllOptionShouldBeDefaultInSearchDropdown
/Real Appeal/Program Admin/Member,RA_PA_Member_ClickOnMemberTabMemberNameShouldBeAscendingOrderInMemberListPage
/Real Appeal/Program Admin/Member,RA_PA_Member_CompareCoachProfileDetailsWithInputDataAndDB
/Real Appeal/Program Admin/Member,RA_PA_Member_CompareFirstnameAloneFromUIAndDB
